albite-low	-3.935e+06	-3.935e+06	-0.006863	210.1	207.4	0.6363	10.01	10.04	-0.1845	
albite-high	-3.925e+06	-3.922e+06	0.04055	223.4	224.4	-0.226	10.11	10.08	0.1288	
almandine	-5.264e+06	-5.266e+06	-0.02553	340	340.8	-0.1169	11.51	11.52	-0.0304	
andalusite	-2.589e+06	-2.59e+06	-0.02263	92.7	91.43	0.6877	5.153	5.147	0.05825	
annite	-5.152e+06	-5.146e+06	0.05863	418	416.5	0.1797	15.43	15.49	-0.1876	
anorthite	-4.233e+06	-4.229e+06	0.05613	200	200.2	-0.0465	10.08	10.07	0.01985	
anthophyllite	-1.207e+07	-2.081e+06	70.58	536	537.4	-0.1304	26.54	26.56	-0.03766	
brucite	-9.249e+05	-9.259e+05	-0.05252	64.5	63.08	1.113	2.463	2.468	-0.1014	
calcite	-1.207e+06	-1.207e+06	0.02696	92.5	91.72	0.4207	3.689	3.689	0	
clinochlore	-8.912e+06	-8.918e+06	-0.03298	430.5	432.3	-0.2098	21.09	21.15	-0.135	
coesite	-9.055e+05	-9.076e+05	-0.1177	40.8	39.42	1.715	2.064	2.064	0	
cordierite	-9.163e+06	-9.163e+06	0.003972	407.5	416.8	-1.134	23.32	23.31	0.02359	
corundum	-1.675e+06	-1.676e+06	-0.01343	50.9	50.82	0.07865	2.558	2.558	0	
cummingtonite	-1.206e+07	-2.08e+06	70.58	540	538.4	0.1484	26.33	26.33	0	
diamond	2070	2180	-2.588	2.3	2.38	-1.709	0.3417	0.342	-0.04388	
diaspore	-9.995e+05	-9.994e+05	0.004608	35	35.31	-0.4384	1.776	1.776	0	
diopside	-3.203e+06	-3.202e+06	0.007572	142.7	142.7	0	6.619	6.613	0.04534	
dolomite	-2.324e+06	-2.326e+06	-0.03534	156	154.9	0.357	6.434	6.431	0.02332	
eastonite	-6.338e+06	-6.341e+06	-0.01985	318	306.5	1.841	14.74	14.74	0	
fayalite	-1.478e+06	-1.477e+06	0.03187	151	151.8	-0.2606	4.631	4.639	-0.0863	
ferrosilite	-2.389e+06	-1.193e+06	33.37	190.6	96.16	32.93	6.592	3.295	33.35	
forsterite	-2.172e+06	-2.176e+06	-0.09362	95.1	94.21	0.4701	4.366	4.363	0.03437	
gehlenite	-3.987e+06	-3.988e+06	-0.01602	202	198.6	0.8487	9.024	9.033	-0.04984	
graphite	0	0	0	5.85	5.74	0.9491	0.5298	0.53	-0.01887	
grossular	-6.644e+06	-6.633e+06	0.08503	255	255.2	-0.0294	12.54	12.54	-0.01197	
heulandite	-1.06e+07	-1.057e+07	0.1594	669	734.4	-4.658	31.8	31.8	0	
ilmenite	-1.231e+06	-1.233e+06	-0.07034	108.9	108.5	0.184	3.169	3.17	-0.01578	
hedenbergite	-2.844e+06	-2.841e+06	0.05875	174.2	175	-0.2188	6.795	6.795	0	
hematite	-8.257e+05	-8.267e+05	-0.06018	87.4	87.44	-0.02288	3.027	3.027	0.006607	
hercynite	-1.959e+06	-1.948e+06	0.279	107.5	121	-5.912	4.075	4.08	-0.06131	
jadeite	-3.028e+06	-3.025e+06	0.04513	133.5	133.6	-0.02767	6.04	6.034	0.04969	
kaolinite	-4.122e+06	-4.12e+06	0.02248	203.7	203.7	0	9.934	9.952	-0.09052	
kyanite	-2.593e+06	-2.594e+06	-0.02142	83.5	82.43	0.6449	4.414	4.412	0.02266	
laumontite	-7.268e+06	-7.261e+06	0.05017	457	463.3	-0.6881	20.37	20.37	0	
lawsonite	-4.869e+06	-4.866e+06	0.03569	230	229.2	0.1795	10.13	10.14	-0.05918	
lime	-6.35e+05	-6.351e+05	-0.01102	38.1	37.75	0.4614	1.676	1.676	0.01193	
magnesite	-1.111e+06	-1.115e+06	-0.1413	65.1	65.09	0.007681	2.803	2.803	0	
magnetite	-1.116e+06	-1.117e+06	-0.06789	146.1	146.1	-0.009205	4.452	4.452	0	
margarite	-6.241e+06	-6.237e+06	0.03708	267	265.1	0.3601	12.96	12.96	0.02315	
meionite	-1.384e+07	-1.385e+07	-0.02222	752	730	1.484	33.98	34.04	-0.07498	
muscovite	-5.984e+06	-5.977e+06	0.0622	292	293.2	-0.1977	14.08	14.09	-0.0142	
paragonite	-5.946e+06	-5.944e+06	0.01833	276	277.8	-0.3183	13.21	13.22	-0.03405	
periclase	-6.016e+05	-6.015e+05	0.008312	26.9	26.94	-0.07429	1.125	1.125	0	
phlogopite	-6.219e+06	-6.221e+06	-0.01812	328	324.6	0.5221	14.96	14.96	0.01003	
sanidine	-3.965e+06	-3.96e+06	0.06632	230	229.2	0.1836	10.9	10.9	0.01835	
microcline	-3.975e+06	-3.971e+06	0.05436	216	214.1	0.4312	10.89	10.87	0.1057	
prehnite	-6.203e+06	-6.199e+06	0.03688	292.8	288.6	0.7166	14.03	14.02	0.03566	
pyrope	-6.285e+06	-6.288e+06	-0.02265	266.3	268.8	-0.4672	11.32	11.31	0.03093	
pyrophanite	-1.359e+06	-1.361e+06	-0.07847	104.9	105.4	-0.2165	3.288	3.279	0.137	
pyrophyllite	-5.641e+06	-5.641e+06	-0.001247	239.4	239.4	0	12.81	12.76	0.1955	
quartz-a	-9.107e+05	-9.107e+05	-0	41.46	41.46	0	2.269	2.269	0	
quartz-b	-9.086e+05	-9.086e+05	-0	44.21	44.21	0	2.37	2.37	0	
rutile	-9.442e+05	-9.448e+05	-0.03018	50.6	50.59	0.009882	1.882	1.881	0.02657	
sillimanite	-2.586e+06	-2.586e+06	-0.007947	95.5	95.93	-0.2246	4.986	4.983	0.03009	
spessartine	-5.646e+06	-5.661e+06	-0.1272	367	354.1	1.788	11.79	11.79	-0.00848	
spinel	-2.301e+06	-2.303e+06	-0.05183	81.5	80.37	0.6981	3.978	3.978	0	
stilbite	-1.09e+07	-1.089e+07	0.04108	710	718.7	-0.6066	32.87	32.86	0.01521	
talc	-5.897e+06	-5.902e+06	-0.04255	260	260.8	-0.1574	13.62	13.62	0.00734	
tremolite	-1.231e+07	-1.231e+07	-0.01236	550	550.9	-0.08436	27.27	27.31	-0.07695	
wairakite	-6.666e+06	-6.661e+06	0.04009	375	377.8	-0.3689	19.04	19.05	-0.01575	
