TYPE	SOURCE	INDEX	NAME	ECFORM	SIZE	PARAMETERS	
MIN	THCv9b0	_0359	Acmite	Si(2)Fe(1)Na(1)O(6)	64.6	7.565	
MIN	THCv9b0	_0360	Afwillite	Si(2)Ca(3)O(10)H(6)	129.5	-49.42	
MIN	THCv9b0	_0361	Al(PO4)	Al(1)P(1)O(4)	1	2.94	
MIN	THCv9b0	_0362	Al(PO4)(H2O)2	Al(1)P(1)O(6)H(4)	1	2.51	
MIN	THCv9b0	_0363	Al	Al(1)	1	-149.9	
MIN	THCv9b0	_0364	Al2(OH)(PO4)2	Al(2)P(2)O(9)H(1)	1	37.38	
MIN	THCv9b0	_0365	Alabandite	S(1)Mn(1)	1	-139.2	
MIN	THCv9b0	_0366	Alamosite	Si(1)Pb(1)O(3)	1	-6.17	
MIN	THCv9b0	_0367	Albite-high	Si(3)Al(1)Na(1)O(8)	1	-4.14	
MIN	THCv9b0	_0368	Albite-low	Si(3)Al(1)Na(1)O(8)	1	-2.74	
MIN	THCv9b0	_0369	Amesite	Si(2)Al(4)Mg(4)O(18)H(8)	205.2	-69.42	
MIN	THCv9b0	_0370	Amesite-Fe	Si(2)Al(4)Fe(4)O(18)H(8)	209	-57.04	
MIN	THCv9b0	_0371	Analcime	Si(201)Al(99)Na(99)O(700)H(200)Div(100)	97.09	-6.65	
MIN	THCv9b0	_0372	Anapaite	Fe(1)Ca(2)P(2)O(12)H(8)	1	-5.02	
MIN	THCv9b0	_0373	Anglesite	S(1)Pb(1)O(4)	1	7.85	
MIN	THCv9b0	_0374	Anhydrite	Ca(1)S(1)O(4)	1	4.44	
MIN	THCv9b0	_0375	Annite	Si(3)Al(1)Fe(3)K(1)O(12)H(2)	154.3	-32.77	
MIN	THCv9b0	_0376	Anorthite	Si(2)Al(2)Ca(1)O(8)	1	-25.31	
MIN	THCv9b0	_0377	Antarcticite	Ca(1)Cl(2)O(6)H(12)	1	-3.94	
MIN	THCv9b0	_0378	Antigorite	Si(34)Mg(48)O(147)H(62)	1755	-500.2	
MIN	THCv9b0	_0379	Aragonite	Ca(1)C(1)O(3)	1	8.31	
MIN	THCv9b0	_0380	Arcanite	K(2)S(1)O(4)	1	1.85	
MIN	THCv9b0	_0381	Artinite	Mg(2)C(1)O(8)H(8)	1	-9.81	
