.type	.name	.formula	H+	e-	H2O	HCO3-	Ca+2	Si(OH)4	Al+3	Fe+2	K+	Mg+2	SO4-2	Br-	Cl-	NO3-	Na+	
AQU	O2	O2	-4	-4	2	0	0	0	0	0	0	0	0	0	0	0	0	
AQU	SiO(OH)3-	SiO(OH)3-	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
AQU	SiO2(OH)2-2	SiO2(OH)2-2	-2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
AQU	AlSO4+	AlSO4+	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	
AQU	Al(SO4)2-	Al(SO4)2-	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	
AQU	Al(OH)2+	Al(OH)2+	-2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	
AQU	Al(OH)4-	Al(OH)4-	-4	0	4	0	0	0	1	0	0	0	0	0	0	0	0	
AQU	Al(OH)3	Al(OH)3	-3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	
AQU	AlOH+2	AlOH+2	-1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	
AQU	Al(OH)6SiO-	Al(OH)6SiO-	-4	0	3	0	0	1	1	0	0	0	0	0	0	0	0	
AQU	AlSiO(OH)3+2	AlSiO(OH)3+2	-1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
AQU	CaCO3	CaCO3	-1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
AQU	CaHCO3+	CaHCO3+	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
AQU	CaSO4	CaSO4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
AQU	CaOH+	CaOH+	-1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
AQU	CaSiO(OH)3+	CaSiO(OH)3+	-1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
AQU	CaSiO2(OH)2	CaSiO2(OH)2	-2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
AQU	Fe+3	Fe+3	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	
AQU	FeCO3	FeCO3	-1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
AQU	FeHCO3+	FeHCO3+	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
