Name	H2O	SIO2	AL2O3	CAO	NA2O	K2O	FEO	MGO	Formula	H0R(J)	S0(J/K)	V0R(J/bar)	K1	K4	K3	K8	K6	K2	K5	K7	K9	VTA*1E5	VTB*1E5	VPA*1E5	VPB*1E8	Tkri	SMA	D1	D4	D3	D8	D6	D2	D5	D7	D9	H2O	SIO2	AL2O3	CAO	NA2O	K2O	FEO	MGO
H2O	1	0	0	0	0	0	0	0	H(2)O(1)	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	1	0	0	0	0	0	0	0
ALBITE-HIGH	0	3	0.5	0	0.5	0	0	0	NA(1)AL(1)SI(3)O(8)	-3921618.2	224.412	10.083	393.63574	-2415.498	-7892826	1.07E+09	0	0	0	0	0	26.525553	3.27E-03	-1.9608342	4.90E-03	0	0	0	0	0	0	0	0	0	0	0	0	3	0.5	0	0.5	0	0	0
ALBITE-LOW	0	3	0.5	0	0.5	0	0	0	NA(1)AL(1)SI(3)O(8)	-3935100.1	207.443	10.043	393.63574	-2415.498	-7892826	1.07E+09	0	0	0	0	0	26.420324	3.25E-03	-1.9530554	4.88E-03	0	0	0	0	0	0	0	0	0	0	0	0	3	0.5	0	0.5	0	0	0
ALMANDINE	0	3	1	0	0	0	3	0	SI(3)FE(3)AL(2)O(12)	-5266208	340.796	11.518	621.4269	-3287.931	-15081040	2.21E+09	0	0	0	0	0	21.422219	8.61E-03	-0.65689918	5.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	3	0
ALUMINOOPX	0	0	1	0	0	0	0	0	AL(2)O(3)	-1630603.1	35.452	3.075	119.38	774.808	-6509130	4.23E+08	0	0	0	0	0	7.5816638	2.30E-03	-0.23042383	1.37E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ANDALUSITE	0	1	1	0	0	0	0	0	AL(2)SI(1)O(5)	-2589972.1	91.4337	5.147	236.47818	-1102.941	-7526810	9.36E+08	0	0	0	0	0	12.06593	3.70E-04	-0.39634	9.90E-04	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ANNITE	1	3	0.5	0	0	0.5	3	0	SI(3)FE(3)AL(1)K(1)H(2)O(12)	-5145632.4	416.5	15.49	666.901	-3354.512	-17319280	2.52E+09	0	0	0	0	0	53.358908	0	-2.6286195	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0.5	0	0	0.5	3	0
ANORTHITE	0	2	1	1	0	0	0	0	AL(2)CA(1)SI(2)O(8)	-4228730	200.1861	10.075	439.36938	-3734.149	0	-3.17E+08	0	0	0	0	0	11	4.23E-03	-1.28197	3.20E-03	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
ANTHOPHYLLITE	1	8	0	0	0	0	0	7	MG(7)SI(8)O(24)H(2)	-2081423	537.4	26.56	1233.792	-7133.98	-22163800	2.33E+09	0	0	0	0	0	74.646411	1.67E-02	-3.0262058	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	7
ANTIGORITE	31	34	0	0	0	0	0	48	MG(48)SI(34)O(99)H(62)O(48)	-71417796	3625.6	175.484	7394.5117	0	-5.48E+08	8.73E+10	0	0	0	0	0	438.09063	6.92E-02	-34.706799	8.68E-02	0	0	0	0	0	0	0	0	0	0	0	31	34	0	0	0	0	0	48
BRUCITE	1	0	0	0	0	0	0	1	MG(1)O(2)H(2)	-925892	63.08	2.468	136.83899	-537.13	-4361949	5.53E+08	0	0	0	0	0	8.10833	2.70E-04	-0.49924	1.66E-03	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
CA-AL-PYROXENE	0	1	1	1	0	0	0	0	CA(1)AL(2)SI(1)O(6)	-3298766.7	140.7508	6.356	310.69775	-1671.627	-7455263	9.49E+08	0	0	0	0	0	14.1424	3.36E-03	-0.55300003	1.38E-03	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
CHRYSOTILE	2	2	0	0	0	0	0	3	MG(3)SI(2)O(9)H(4)	-4367322.3	219.83	10.774	610.02197	-5581.152	-1857300	1.95E+08	0	0	0	0	0	29.252777	7.26E-03	-1.9503956	4.87E-03	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3
CLINOCHLORE	4	3	1	0	0	0	0	5	MG(5)AL(2)SI(3)O(18)H(8)	-8918291	432.31	21.147	1214.2844	-11217.129	0	-1.26E+09	0	0	0	0	0	55.937073	0	-3.8476347	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	5
COESITE	0	1	0	0	0	0	0	0	SI(1)O(2)	-907604.1	39.4244	2.064	94.90714	-767.338	-527867	26270730	0	0	0	0	0	1.5266	9.00E-04	-0.214	6.19E-04	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CORDIERITE	0	5	2	0	0	0	0	2	MG(2)AL(4)SI(5)O(18)	-9162642	416.849	23.311	954.3865	-7962.274	-2317258	-3.70E+08	0	0	0	0	0	7	4.20E-03	-2.7000001	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	2
CORUNDUM	0	0	1	0	0	0	0	0	AL(2)O(3)	-1675700	50.82	2.558	155.01888	-828.387	-3861363	4.09E+08	0	0	0	0	0	5.4591565	1.21E-03	-9.85E-02	9.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CRISTOBALITE-ALPHA	0	1	0	0	0	0	0	0	SI(1)O(2)	-907753.35	43.3943	2.587	83.5136	-374.693	-2455360	2.80E+08	0	0	0	0	0	5.3871848	0	-0.65050291	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CRISTOBALITE-BETA	0	1	0	0	0	0	0	0	SI(1)O(2)	-906377.23	46.0288	2.73	83.5136	-374.693	-2455360	2.80E+08	0	0	0	0	0	0.87065378	0	-0.30022544	1.51E-03	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CUMMINGTONITE	1	8	0	0	0	0	0	7	MG(7)SI(8)O(24)H(2)	-2079523	538.4	26.33	1233.8	-7133.98	-22163800	2.33E+09	0	0	0	0	0	74.000465	1.66E-02	-3.0000402	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	7
DIASPORE	0.5	0	0.5	0	0	0	0	0	AL(1)O(2)H(1)	-999377.89	35.3082	1.776	143.23953	-1540.409	-323098	64632256	0	0	0	0	0	5.2779233	0	-0.10643419	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0
DIOPSIDE	0	2	0	1	0	0	0	1	MG(1)CA(1)SI(2)O(6)	-3202275	142.7	6.613	305.41333	-1604.931	-7165973	9.22E+08	0	0	0	0	0	18.380963	5.49E-03	-0.57696924	1.13E-03	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1
EASTONITE	1	2	1.5	0	0	0.5	0	2	K(1)MG(2)AL(3)SI(2)O(12)H(2)	-6340686.4	306.5	14.738	619.7933	-2272.344	-22291180	3.00E+09	0	0	0	0	0	50.768469	0	-2.5010068	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1.5	0	0	0.5	0	2
ENSTATITE-CLINO	0	1	0	0	0	0	0	1	MG(1)SI(1)O(3)	-1547350.6	66.3255	3.131	139.95824	-497.034	-4400237	5.36E+08	0	0	0	0	0	6.8615865	2.35E-03	-0.23469976	1.40E-04	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSTATITE-ORTHO	0	1	0	0	0	0	0	1	MG(1)SI(1)O(3)	-1546977	66.17	3.133	1332.636	-9604.704	-18164480	2.23E+09	0	0	0	0	0	7.7246675	2.34E-03	-0.23477004	1.40E-04	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSTATITE-PROTO	0	1	0	0	0	0	0	1	MG(1)SI(1)O(3)	-1545335.3	67.4738	3.242	166.5795	-1200.588	-2270560	2.79E+08	0	0	0	0	0	5.4568371	3.78E-03	-0.24302032	1.45E-04	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
FAYALITE	0	1	0	0	0	0	2	0	FE(2)SI(1)O(4)	-1477208	151.789	4.639	251.9962	-2013.697	0	-62189100	0	0	0	0	0	12.158689	3.91E-03	-0.38123965	9.02E-04	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
FE_CORDIERITE	0	5	2	0	0	0	2	0	FE(2)AL(4)SI(5)O(18)	-8438897	474.023	23.706	983.479	-8403.659	-1870290	-85683500	0	0	0	0	0	10.11	0	-4.0295999	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	2	0
FE-A	0	0	0	0	0	0	1	0	FE(1)	0	27.5	0.709	51.865	-379.35	-2543000	5.07E+08	0	0	0	0	0	3.1955	1.00E-04	-4.27E-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FE-G	0	0	0	0	0	0	1	0	FE(1)	7715.7	35.6891	0.691	66.238	-1237.113	6373289	-1.06E+09	0	0	0	0	0	3.2582847	9.99E-05	-3.23E-02	-9.99E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FERROSILITE	0	1	0	0	0	0	1	0	SI(1)FE(1)O(3)	-1193343.9	96.16	3.295	174.2024	-1392.959	-454390	-37711400	0	0	0	0	0	10.348409	2.65E-03	-0.3002089	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
FORSTERITE	0	1	0	0	0	0	0	2	MG(2)SI(1)O(4)	-2176271	94.21	4.363	233.1803	-1801.58	0	-2.68E+08	0	0	0	0	0	12.854997	3.87E-03	-0.34525885	5.90E-04	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
GEHLENITE	0	1	1	2	0	0	0	0	AL(2)CA(2)SI(1)O(7)	-3988157.8	198.6	9.033	373.0874	-2276.755	-4778466	4.78E+08	0	0	0	0	0	22.515736	5.12E-04	-0.90012978	2.25E-03	0	0	-221.74	0.3695	17291280	0	-1.50E-04	0	0	0	0	0	1	1	2	0	0	0	0
GROSSULAR	0	3	1	3	0	0	0	0	CA(3)AL(2)SI(3)O(12)	-6632861	255.15	12.538	573.43042	-2039.405	-18887168	2.32E+09	0	0	0	0	0	23.81493	1.00E-02	-0.81987687	2.05E-03	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	0	0	0
HEDENBERGITE	0	2	0	1	0	0	1	0	CA(1)FE(1)SI(2)O(6)	-2840820.3	174.9641	6.795	313.3925	-1762.77	-6171210	8.10E+08	0	0	0	0	0	18.2244	1.10E-03	-0.60629998	1.60E-03	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0
HEMATITE	0	0	0	0	0	0	2	0	FE(2)O(3)	-826704.4	87.44	3.027	146.8584	0	-5576782	5.26E+08	0	0	0	0	0	11.596291	4.99E-05	-0.14497514	9.20E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HERCYNITE	0	0	1	0	0	0	1	0	FE(1)AL(2)O(4)	-1948248	121.01	4.08	251.7674	-2044.441	-1348330	1.32E+08	0	0	0	0	0	6.4540962	3.93E-03	-0.20808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
HEULANDITE	6	7	1	1	0	0	0	0	CA(1)AL(2)SI(7)O(24)H(12)	-10565397	734.373	31.8	1355.954	-9155.55	-22391220	3.12E+09	0	0	0	0	0	85.08725	1.91E-03	-8.46E-03	-2.5367938	0	0	0	0	0	0	0	0	0	0	0	6	7	1	1	0	0	0	0
JADEITE	0	2	0.5	0	0.5	0	0	0	NA(1)AL(1)SI(2)O(6)	-3025118.2	133.5739	6.034	311.29297	-2005.101	-5350264	6.63E+08	0	0	0	0	0	13.949661	1.56E-03	-0.51880435	1.30E-03	0	0	0	0	0	0	0	0	0	0	0	0	2	0.5	0	0.5	0	0	0
KAOLINITE	2	2	1	0	0	0	0	0	AL(2)SI(2)O(9)H(4)	-4120327.2	203.7	9.952	523.23291	-4426.668	-2244259	92308768	0	0	0	0	0	31.8464	0	-1.19424	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0
K-FELDSPAR	0	3	0.5	0	0	0.5	0	0	K(1)AL(1)SI(3)O(8)	-3970790.8	214.1451	10.869	381.37231	-1941.045	-12037252	1.84E+09	0	0	0	0	0	16.461182	5.96E-03	-1.961323	5.56E-03	0	0	282.98291	-0.15733	3620706	-4831.375	3.00E-05	0	0	0	0	0	3	0.5	0	0	0.5	0	0
KYANITE	0	1	1	0	0	0	0	0	AL(2)SI(1)O(5)	-2594221	82.43	4.412	262.68478	-2001.407	-1999740	-63181880	0	0	0	0	0	10.57668	0	-0.28499998	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
LAUMONTITE	4	4	1	1	0	0	0	0	CA(1)AL(2)SI(4)O(16)H(8)	-7261180.5	463.333	20.37	917.377	-6131.5	-14805540	2.02E+09	0	0	0	0	0	53.166273	-4.15E-02	-1.3822868	5.30E-03	0	0	0	0	0	0	0	0	0	0	0	4	4	1	1	0	0	0	0
LAWSONITE	2	2	1	1	0	0	0	0	CA(1)AL(2)SI(2)O(10)H(4)	-4865666	229.1759	10.144	728.6731	-8248.055	0	8.51E+08	0	0	0	0	0	26.66185	0	-0.77987995	1.95E-03	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0
LIME	0	0	0	1	0	0	0	0	CA(1)O(1)	-635090	37.75	1.676	58.79117	-133.904	-1147146	1.03E+08	0	0	0	0	0	5.8006956	1.13E-03	-0.17123913	4.30E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MAGNETITE	0	0	0	0	0	0	3	0	FE(3)O(4)	-1117025.7	146.1269	4.452	207.93083	0	-7243337	6.64E+08	0	0	0	0	0	13.485569	6.16E-03	-0.25897418	7.80E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
MARGARITE	1	2	2	1	0	0	0	0	CA(1)AL(4)SI(2)O(12)H(2)	-6236603	265.0841	12.958	699.79565	-5587.105	-6807750	7.34E+08	0	0	0	0	0	27.2358	1.61E-02	-1.4965199	3.74E-03	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0
MICROCLINE	0	3	0.5	0	0	0.5	0	0	K(1)AL(1)SI(3)O(8)	-3970790.8	214.1451	10.869	381.37231	-1941.045	-12037252	1.84E+09	0	0	0	0	0	16.461182	5.96E-03	-1.961323	5.56E-03	0	0	0	0	0	0	0	0	0	0	0	0	3	0.5	0	0	0.5	0	0
